,小说名,作者名,作者主页,字数,最新章节,更新时间,小说链接,热度,类别
0,武逆九千界,虚尘,https://www.qimao.com/zuozhe/%E8%99%9A%E5%B0%98_14/,712.99万字,第3316章  大帝十三斩，碾压真灵九变,2023-05-31 21:10:35,https://www.qimao.com/shuku/215086/,63.2万,玄幻奇幻/东方玄幻
1,吞噬古帝,黑白仙鹤,https://www.qimao.com/zuozhe/%E9%BB%91%E7%99%BD%E4%BB%99%E9%B9%A4_14/,674.46万字,第3189章  互助互利,2023-05-31 12:10:36,https://www.qimao.com/shuku/213092/,53.2万,玄幻奇幻/东方玄幻
2,最强末世进化,蔡四爷,https://www.qimao.com/zuozhe/%E8%94%A1%E5%9B%9B%E7%88%B7_14/,726.54万字,第2446章  新伙伴……大家伙,2023-05-31 23:47:22,https://www.qimao.com/shuku/151762/,47.3万,科幻/末世危机
3,九阳武神,我吃面包,https://www.qimao.com/zuozhe/%E6%88%91%E5%90%83%E9%9D%A2%E5%8C%85_14/,619.95万字,第2629章  杀五仙毒王,2023-05-31 23:51:23,https://www.qimao.com/shuku/149769/,41.6万,玄幻奇幻/东方玄幻
4,极品戒指,淮阴小侯,https://www.qimao.com/zuozhe/%E6%B7%AE%E9%98%B4%E5%B0%8F%E4%BE%AF_14/,530.5万字,第2587章  恢复记忆（终章）,2023-03-04 10:24:20,https://www.qimao.com/shuku/151584/,32.0万,都市人生/异术超能
5,吞天圣帝,枫落忆痕,https://www.qimao.com/zuozhe/%E6%9E%AB%E8%90%BD%E5%BF%86%E7%97%95_14/,669.66万字,第1875章  中了你的毒,2023-05-31 00:56:20,https://www.qimao.com/shuku/208594/,23.2万,玄幻奇幻/东方玄幻
6,九狼图,纯银耳坠,https://www.qimao.com/zuozhe/%E7%BA%AF%E9%93%B6%E8%80%B3%E5%9D%A0_14/,548.31万字,第1802章  天狮城欢乐谷,2023-05-31 20:01:20,https://www.qimao.com/shuku/216055/,21.7万,科幻/末世危机
7,九转星辰诀,晨弈,https://www.qimao.com/zuozhe/%E6%99%A8%E5%BC%88_14/,654.66万字,第2933章  消息泄露，孽镜地狱寻宝！,2023-05-31 19:41:22,https://www.qimao.com/shuku/202636/,21.5万,玄幻奇幻/东方玄幻
8,万古龙帝,拓跋流云,https://www.qimao.com/zuozhe/%E6%8B%93%E8%B7%8B%E6%B5%81%E4%BA%91_14/,864.1万字,第2220章  窃天者，太易！,2023-05-31 23:07:28,https://www.qimao.com/shuku/210771/,19.0万,玄幻奇幻/东方玄幻
9,叶天神,水门绅士,https://www.qimao.com/zuozhe/%E6%B0%B4%E9%97%A8%E7%BB%85%E5%A3%AB_14/,527.97万字,第2349章  龙君临之强大！,2023-05-31 23:58:21,https://www.qimao.com/shuku/201492/,18.0万,都市人生/都市高手
10,护花神医,谦谦二君子,https://www.qimao.com/zuozhe/%E8%B0%A6%E8%B0%A6%E4%BA%8C%E5%90%9B%E5%AD%90_14/,516.89万字,第2479章  结局撒花,2023-01-02 00:49:19,https://www.qimao.com/shuku/208599/,16.4万,都市人生/异术超能
11,至尊剑帝,一丝凉意,https://www.qimao.com/zuozhe/%E4%B8%80%E4%B8%9D%E5%87%89%E6%84%8F_14/,509.91万字,第2324章  李枸耽,2023-05-31 22:36:17,https://www.qimao.com/shuku/215157/,15.6万,玄幻奇幻/东方玄幻
12,混沌天尊,新闻工作者,https://www.qimao.com/zuozhe/%E6%96%B0%E9%97%BB%E5%B7%A5%E4%BD%9C%E8%80%85_14/,558.02万字,第2324章  他不会看上了我们了吧？,2023-05-31 18:10:26,https://www.qimao.com/shuku/214890/,13.3万,玄幻奇幻/东方玄幻
13,上门龙婿,鸿兴哒哒,https://www.qimao.com/zuozhe/%E9%B8%BF%E5%85%B4%E5%93%92%E5%93%92_14/,529.08万字,第2737章  平淡的美好（大结局）！,2023-01-02 02:04:22,https://www.qimao.com/shuku/151369/,10.4万,都市人生/商战职场
14,凌天独尊,有木,https://www.qimao.com/zuozhe/%E6%9C%89%E6%9C%A8_14/,593.75万字,第2858章  铁片,2023-05-31 23:26:24,https://www.qimao.com/shuku/195409/,9.2万,玄幻奇幻/东方玄幻
15,重回1991,南三石,https://www.qimao.com/zuozhe/%E5%8D%97%E4%B8%89%E7%9F%B3_14/,502.39万字,第2474章  各种搞事情,2023-05-31 07:21:18,https://www.qimao.com/shuku/209888/,8.0万,都市人生/商战职场
