"_id","城市","城市_","省份","省份_"
"643e3b3441bbf2c91504b942","海淀","haidian","北京","beijing"
"643e3b3441bbf2c91504b943","朝阳","chaoyang","北京","beijing"
"643e3b3441bbf2c91504b944","顺义","shunyi","北京","beijing"
"643e3b3441bbf2c91504b945","怀柔","huairou","北京","beijing"
"643e3b3441bbf2c91504b946","通州","tongzhou","北京","beijing"
"643e3b3441bbf2c91504b947","昌平","changping","北京","beijing"
"643e3b3441bbf2c91504b948","延庆","yanqing","北京","beijing"
"643e3b3441bbf2c91504b949","丰台","fengtai","北京","beijing"
"643e3b3441bbf2c91504b94a","石景山","shijingshan","北京","beijing"
"643e3b3441bbf2c91504b94b","大兴","daxing","北京","beijing"
"643e3b3441bbf2c91504b94c","房山","fangshan","北京","beijing"
"643e3b3441bbf2c91504b94d","密云","miyun","北京","beijing"
"643e3b3441bbf2c91504b94e","门头沟","mentougou","北京","beijing"
"643e3b3441bbf2c91504b94f","平谷","pinggu","北京","beijing"
"643e3b3441bbf2c91504b950","东城","dongchengqu","北京","beijing"
"643e3b3441bbf2c91504b951","西城","xichengqu","北京","beijing"
"643e3b3441bbf2c91504b952","江北","jiangbei","重庆","chongqing"
"643e3b3441bbf2c91504b953","渝中","yuzhongqu","重庆","chongqing"
"643e3b3441bbf2c91504b954","大渡口","dadukou","重庆","chongqing"
"643e3b3441bbf2c91504b955","沙坪坝","shapingba","重庆","chongqing"
"643e3b3441bbf2c91504b956","九龙坡","jiulongpo","重庆","chongqing"
"643e3b3441bbf2c91504b957","南岸","nananqu","重庆","chongqing"
"643e3b3441bbf2c91504b958","开州","kaizhou","重庆","chongqing"
"643e3b3441bbf2c91504b959","永川","yongchuan","重庆","chongqing"
"643e3b3441bbf2c91504b95a","合川","hechuan","重庆","chongqing"
"643e3b3441bbf2c91504b95b","南川","nanchuan","重庆","chongqing"
"643e3b3441bbf2c91504b95c","江津","jiangjin","重庆","chongqing"
"643e3b3441bbf2c91504b95d","万盛","wansheng","重庆","chongqing"
"643e3b3441bbf2c91504b95e","渝北","yubei","重庆","chongqing"
"643e3b3441bbf2c91504b95f","北碚","beibei","重庆","chongqing"
"643e3b3441bbf2c91504b960","巴南","banan","重庆","chongqing"
"643e3b3441bbf2c91504b961","长寿","changshou","重庆","chongqing"
"643e3b3441bbf2c91504b962","黔江","qianjiang","重庆","chongqing"
"643e3b3441bbf2c91504b963","万州","wanzhou","重庆","chongqing"
"643e3b3441bbf2c91504b964","涪陵","fuling","重庆","chongqing"
"643e3b3441bbf2c91504b965","开县","kaixian","重庆","chongqing"
"643e3b3441bbf2c91504b966","城口","chengkou","重庆","chongqing"
"643e3b3441bbf2c91504b967","云阳","yunyang","重庆","chongqing"
"643e3b3441bbf2c91504b968","巫溪","wuxi","重庆","chongqing"
"643e3b3441bbf2c91504b969","奉节","fengjie","重庆","chongqing"
"643e3b3441bbf2c91504b96a","巫山","wushan","重庆","chongqing"
"643e3b3441bbf2c91504b96b","潼南","tongnan","重庆","chongqing"
"643e3b3441bbf2c91504b96c","垫江","dianjiang","重庆","chongqing"
"643e3b3441bbf2c91504b96d","梁平","liangping","重庆","chongqing"
"643e3b3441bbf2c91504b96e","忠县","zhongxian","重庆","chongqing"
"643e3b3441bbf2c91504b96f","石柱","shizhu","重庆","chongqing"
"643e3b3441bbf2c91504b970","大足","dazu","重庆","chongqing"
"643e3b3441bbf2c91504b971","荣昌","rongchang","重庆","chongqing"
"643e3b3441bbf2c91504b972","铜梁","tongliang","重庆","chongqing"
"643e3b3441bbf2c91504b973","璧山","bishan","重庆","chongqing"
"643e3b3441bbf2c91504b974","丰都","fengdu","重庆","chongqing"
"643e3b3441bbf2c91504b975","武隆","wulong","重庆","chongqing"
"643e3b3441bbf2c91504b976","彭水","pengshui","重庆","chongqing"
"643e3b3441bbf2c91504b977","綦江","qijiang","重庆","chongqing"
"643e3b3441bbf2c91504b978","酉阳","youyang","重庆","chongqing"
"643e3b3441bbf2c91504b979","秀山","xiushan","重庆","chongqing"
"643e3b3441bbf2c91504b97a","徐汇","xuhui","上海","shanghai"
"643e3b3441bbf2c91504b97b","静安","jinganqu","上海","shanghai"
"643e3b3441bbf2c91504b97c","杨浦","yangpuqu","上海","shanghai"
"643e3b3441bbf2c91504b97d","闵行","minhang","上海","shanghai"
"643e3b3441bbf2c91504b97e","宝山","baoshan","上海","shanghai"
"643e3b3441bbf2c91504b97f","嘉定","jiading","上海","shanghai"
"643e3b3441bbf2c91504b980","南汇","nanhui","上海","shanghai"
"643e3b3441bbf2c91504b981","金山","jinshan","上海","shanghai"
"643e3b3441bbf2c91504b982","青浦","qingpu","上海","shanghai"
"643e3b3441bbf2c91504b983","松江","songjiang","上海","shanghai"
"643e3b3441bbf2c91504b984","奉贤","fengxian","上海","shanghai"
"643e3b3441bbf2c91504b985","崇明","chongming","上海","shanghai"
"643e3b3441bbf2c91504b986","徐家汇","xujiahui","上海","shanghai"
"643e3b3441bbf2c91504b987","浦东","pudong","上海","shanghai"
"643e3b3441bbf2c91504b988","长宁","changningqu","上海","shanghai"
"643e3b3441bbf2c91504b989","虹口","hongkou1","上海","shanghai"
"643e3b3441bbf2c91504b98a","黄浦","huangpu1","上海","shanghai"
"643e3b3441bbf2c91504b98b","武清","wuqing","天津","tianjin"
"643e3b3441bbf2c91504b98c","宝坻","baodi","天津","tianjin"
"643e3b3441bbf2c91504b98d","东丽","dongli","天津","tianjin"
"643e3b3441bbf2c91504b98e","西青","xiqing","天津","tianjin"
"643e3b3441bbf2c91504b98f","北辰","beichen","天津","tianjin"
"643e3b3441bbf2c91504b990","宁河","ninghe","天津","tianjin"
"643e3b3441bbf2c91504b991","汉沽","hangu","天津","tianjin"
"643e3b3441bbf2c91504b992","静海","jinghai","天津","tianjin"
"643e3b3441bbf2c91504b993","津南","jinnan","天津","tianjin"
"643e3b3441bbf2c91504b994","塘沽","tanggu","天津","tianjin"
"643e3b3441bbf2c91504b995","大港","dagang","天津","tianjin"
"643e3b3441bbf2c91504b996","蓟州","tianjinjizhou","天津","tianjin"
"643e3b3441bbf2c91504b997","红桥","hongqiaoqu","天津","tianjin"
"643e3b3441bbf2c91504b998","河西","hexiqu","天津","tianjin"
"643e3b3441bbf2c91504b999","河东","hedongqu","天津","tianjin"
"643e3b3441bbf2c91504b99a","河北","hebeiqu","天津","tianjin"
"643e3b3441bbf2c91504b99b","和平","hepingqu","天津","tianjin"
